# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-O" "-T" "12" "-g" "gene_id" "--ignoreDup" "-a" "/grid/li/data/Leo/RNA-seq/reference_genome/mm10.ncbiRefSeq.gtf" "-o" "AllSamples_featureCounts_output.txt" "CeACtrlAligned.sortedByCoord.rmdup.bam" "CeAMorAligned.sortedByCoord.rmdup.bam" "NAcCtrlAligned.sortedByCoord.rmdup.bam" "NAcMorAligned.sortedByCoord.rmdup.bam" "dStrCtrlAligned.sortedByCoord.rmdup.bam" "dStrMorAligned.sortedByCoord.rmdup.bam" 
Geneid	CeACtrlAligned.sortedByCoord.rmdup.bam	CeAMorAligned.sortedByCoord.rmdup.bam	NAcCtrlAligned.sortedByCoord.rmdup.bam	NAcMorAligned.sortedByCoord.rmdup.bam	dStrCtrlAligned.sortedByCoord.rmdup.bam	dStrMorAligned.sortedByCoord.rmdup.bam
Snord110	8	5	1	2	3	4
Snord57	14	6	12	0	6	0
Idh3b	58	74	82	72	76	73
Gm30169	1	2	7	4	1	5
Ebf4	2	4	11	11	5	3
Gm39936	0	0	0	0	1	0
Cpxm1	3	2	2	1	0	2
1700020A23Rik	1	1	3	0	2	3
Tmem239	1	2	1	2	2	1
Pced1a	11	13	23	18	18	20
Vps16	24	31	29	23	23	30
Ptpra	251	265	282	163	163	123
4930473A02Rik	55	52	57	43	46	24
Mrps26	26	15	14	20	11	13
Oxt	1	0	1	0	0	2
Avp	0	0	0	0	0	0
Ubox5	8	11	20	8	14	13
Fastkd5	12	25	29	18	27	22
Lzts3	83	102	181	128	203	174
Ddrgk1	37	44	36	37	21	21
Itpa	22	24	36	26	17	18
Slc4a11	13	17	13	23	11	9
4930402H24Rik	68	101	176	105	142	146
Gm14057	5	7	15	7	14	7
A730017L22Rik	9	7	10	10	11	14
Atrn	379	410	427	336	332	262
Gm30286	8	6	10	7	15	12
Gm39937	5	0	8	3	4	4
Gfra4	13	21	22	23	13	22
Mir6973b	0	3	1	4	1	2
Adam33	0	0	0	0	1	0
Siglec1	0	0	0	1	0	0
Gm30378	0	0	0	0	0	0
Hspa12b	0	5	6	6	7	1
1700037H04Rik	37	53	52	36	40	37
Spef1	4	7	3	7	2	3
Cenpb	23	25	52	34	30	34
Cdc25b	5	4	19	11	13	8
Ap5s1	6	8	13	15	15	8
Mavs	0	5	6	7	6	3
Pank2	46	59	69	54	52	68
Mir103-2	0	1	2	1	2	1
Rnf24	54	71	77	49	56	56
Gm30590	1	0	0	0	2	0
LOC108168794	1	0	0	0	1	0
Gm14304	1	0	0	0	0	0
Gm30679	0	0	0	0	0	0
Smox	5	6	8	12	12	8
Gm30732	1	1	0	0	0	1
Gm39938	1	0	2	2	0	1
Adra1d	2	1	2	0	2	3
Gm14285	1	0	1	0	0	2
Gm30986	0	0	0	0	1	0
5330413P13Rik	7	12	6	6	0	0
Erv3	1	0	0	0	1	0
Prnp	563	701	547	400	257	212
Prn	63	88	53	40	25	27
Prnd	1	0	0	0	0	0
Rassf2	3	5	17	10	14	10
Gm39939	0	1	0	0	2	0
Gm31179	0	0	0	0	1	0
Slc23a2	114	159	159	157	132	143
Gm14051	3	2	7	5	5	6
Gm29720	0	0	0	0	0	0
Tmem230	10	22	15	6	16	11
Pcna	19	18	21	15	19	12
LOC102633666	1	3	0	0	1	1
Cds2	432	492	592	465	358	272
LOC108168795	6	13	17	8	10	8
Prokr2	6	14	6	4	15	11
4921508D12Rik	0	0	0	0	0	0
Gm14095	0	0	0	0	0	0
1700026D11Rik	0	0	0	0	0	0
Gpcpd1	74	105	137	107	177	179
AU019990	0	0	0	0	0	0
1110034G24Rik	8	13	14	16	23	13
Gm38455	1	1	0	0	2	1
Chgb	243	273	304	241	232	244
Trmt6	28	37	33	23	33	23
Mcm8	13	11	13	8	17	13
Crls1	35	40	36	19	20	28
Lrrn4	5	4	9	7	3	7
Fermt1	0	0	0	0	0	0
LOC108168796	0	1	0	0	0	0
Gm31851	0	0	0	0	0	0
A430048G15Rik	0	0	0	0	0	0
Gm14100	0	0	0	0	0	0
Bmp2	3	8	15	6	9	17
Mir3090	0	0	0	0	0	0
Gm39940	0	0	1	0	0	0
Hao1	0	0	0	0	0	0
Tmx4	670	837	800	583	412	345
Plcb1	636	683	629	509	949	913
LOC102634483	4	16	10	19	21	21
Gm39941	5	22	22	21	48	61
4930545L23Rik	2	8	12	4	8	10
Gm31993	0	0	0	0	0	0
9630028H03Rik	0	0	0	0	0	0
Platr3	0	0	0	0	0	0
Plcb4	54	69	87	63	57	47
Gm14210	1	3	4	0	1	5
Lamp5	84	112	80	68	81	70
Pak7	52	76	71	48	36	42
Gm39942	0	0	1	0	0	0
Gm32546	1	0	0	0	0	0
Gm32746	1	1	0	0	2	0
Ankef1	5	4	11	7	9	3
Gm32659	4	12	13	6	12	8
Snap25	1099	1352	1286	996	1114	1217
Gm39943	1	0	0	4	2	1
LOC108168797	0	1	2	1	0	0
Mkks	21	34	41	39	38	41
Slx4ip	18	28	30	22	33	23
Gm38479	1	0	1	1	6	6
Jag1	5	3	21	14	42	28
Gm39944	0	0	0	0	0	0
Gm14055	0	0	0	0	0	0
Gm14064	0	0	0	0	0	0
Gm14062	0	1	0	0	0	0
Btbd3	168	172	174	172	86	68
LOC102636024	1	0	1	2	1	1
Gm14061	1	2	3	0	0	2
LOC108168798	0	0	0	0	0	0
Mir1952	0	0	0	0	0	0
LOC545466	0	0	0	0	0	0
Sptlc3	0	0	0	0	0	0
Ism1	5	3	3	3	5	1
Tasp1	37	52	42	41	49	39
Esf1	58	80	89	69	42	55
Ndufaf5	44	44	38	25	40	35
Sel1l2	0	1	0	0	0	0
Macrod2	96	87	106	82	99	100
Gm39948	1	2	5	0	5	4
Flrt3	160	166	211	167	208	238
Kif16b	27	31	31	29	40	25
Kif16bos	0	0	2	0	0	0
Snrpb2	20	28	35	24	15	22
Otor	0	0	0	0	0	0
Gm33599	0	0	0	0	2	1
Pcsk2os1	32	42	75	46	105	82
Pcsk2	193	248	415	346	527	493
Pcsk2os2	24	26	57	45	76	81
Bfsp1	1	0	4	2	0	1
Gm33648	0	2	2	0	0	0
Dstn	69	107	105	88	66	69
Gm33804	0	0	1	0	0	0
Rrbp1	32	39	51	59	28	23
Banf2	0	0	0	0	0	0
Banf2os	0	0	0	0	0	0
LOC108168800	0	0	0	0	0	0
Gm5535	0	0	0	0	0	0
Snx5	37	41	77	54	66	62
Snord17	140	234	163	134	83	99
Mgme1	1	2	6	1	3	2
Ovol2	0	0	0	0	0	0
Gm34181	0	0	0	0	0	0
Pet117	0	2	5	1	2	5
Csrp2bp	15	41	36	25	27	23
LOC108168801	2	3	2	6	3	8
Zfp133-ps	6	3	9	10	6	7
Gm38402	2	3	7	2	3	7
Dzank1	355	383	488	343	298	296
Polr3f	26	41	50	29	27	46
Rbbp9	20	39	24	26	17	17
Gm34292	0	1	0	0	0	1
Sec23b	29	39	33	24	30	26
Gm561	8	3	7	4	7	1
Dtd1	53	48	35	34	19	27
Gm39951	0	1	6	1	2	2
Scp2d1	0	0	0	0	0	0
Gm39952	0	0	0	0	0	1
Slc24a3	113	129	99	96	75	40
Gm14092	0	0	2	1	2	2
BC039771	0	2	1	0	0	0
Gm34570	0	0	0	0	0	0
Gm34513	0	1	3	0	0	0
Rin2	8	12	13	12	12	16
Gm39954	1	1	1	0	0	0
Naa20	27	26	31	34	36	30
Crnkl1	64	73	78	41	48	45
Cfap61	2	0	1	1	0	1
Gm34629	0	0	0	0	0	0
Insm1	6	5	17	11	12	11
Ralgapa2	69	83	144	96	180	149
A930019D19Rik	1	5	5	1	7	6
4933406D12Rik	0	0	0	0	0	0
Gm34689	0	0	0	0	0	0
Gm35433	0	0	0	0	0	0
Gm14114	2	0	5	4	5	8
Gm35030	1	0	2	0	1	4
Gm34978	0	0	4	3	3	0
Kiz	26	11	27	16	25	33
Xrn2	96	85	150	102	126	133
Nkx2-4	0	0	0	0	0	0
Gm34889	0	0	0	0	0	0
Nkx2-2	0	1	2	0	3	2
Nkx2-2os	0	2	0	0	2	1
6430503K07Rik	1	0	0	0	1	0
Gm39955	0	0	0	0	0	0
AI646519	0	0	0	0	0	0
Pax1	0	0	0	0	0	0
Gm39956	0	0	0	0	0	0
Gm35479	0	0	0	0	0	0
A530006G24Rik	0	0	0	0	0	0
Gm35528	0	0	0	0	0	0
Gm35579	0	0	0	0	0	0
LOC108168803	0	0	0	0	0	0
9030622O22Rik	0	0	0	0	0	0
Foxa2	0	0	0	0	0	0
Gm36597	0	0	0	0	0	0
Gm39957	0	0	0	0	0	0
Sstr4	8	5	8	7	14	4
Thbd	8	5	1	2	6	2
Cd93	0	0	1	0	0	1
LOC108168804	0	0	0	0	0	0
Nxt1	7	4	5	8	5	6
Gzf1	50	35	67	40	61	58
LOC108168805	0	1	2	1	1	1
LOC108168731	153	200	160	134	135	111
Napb	372	445	354	291	269	267
Cstl1	0	0	0	0	0	2
Cst11	0	0	0	0	0	0
8030411F24Rik	0	0	0	0	0	0
Cst12	0	0	0	0	0	0
Cst8	0	0	0	0	0	0
Cst13	0	0	0	0	0	0
Cst9	0	0	0	0	0	0
9230104L09Rik	0	0	0	0	0	1
Cst3	208	229	243	222	261	249
Cst10	0	0	0	0	0	0
Gm14133	19	24	61	35	58	56
Syndig1	14	26	66	58	41	40
Zfp120	40	51	64	54	31	31
Gm14139	0	0	0	0	0	0
Zfp937	14	19	16	18	18	22
Gm14124	0	0	1	0	0	0
3300002I08Rik	6	9	11	4	8	5
Gm10130	5	3	6	2	4	4
Zfp442	29	47	62	39	50	49
Zfp345	0	0	0	0	0	0
Cst7	0	2	1	2	2	2
Apmap	52	45	54	47	38	23
Acss1	6	12	7	6	2	3
E130215H24Rik	0	0	0	1	0	0
Vsx1	0	0	0	0	0	0
Entpd6	45	70	55	56	45	39
Gm30141	0	0	0	0	0	0
Pygb	48	73	56	53	56	57
Abhd12	109	134	130	134	119	105
Gins1	0	0	1	1	1	2
Ninl	4	1	3	3	3	2
Nanp	7	4	3	9	5	2
Gm14151	0	0	0	0	0	0
Gm14147	0	0	0	0	0	0
Gm30478	0	0	0	0	0	0
Gm14149	0	0	0	1	0	0
LOC108168732	0	0	0	0	0	0
Gm14144	0	0	0	0	0	0
4930442J19Rik	0	0	0	0	0	0
LOC100125594	0	0	0	0	0	0
4921509C19Rik	0	0	0	0	0	0
Nsfl1c	37	48	46	39	25	36
Gm14167	1	4	7	2	2	6
Fkbp1a	350	406	421	319	217	236
Gm39959	1	0	2	0	1	0
Sdcbp2	7	6	3	3	8	2
Snph	66	115	127	102	140	99
LOC108168834	0	0	0	0	2	0
Rad21l	0	2	1	2	2	0
Tmem74b	29	27	34	33	32	36
Psmf1	26	34	37	27	32	36
4930556L07Rik	0	0	0	0	0	0
Rspo4	0	0	0	0	0	0
Angpt4	0	0	0	0	0	0
Gm14154	0	0	0	0	0	0
Mir1953	0	0	0	0	0	0
Fam110a	3	2	1	3	3	0
Slc52a3	0	0	0	0	0	0
AA387200	1	1	1	2	5	6
Scrt2	16	30	34	32	43	49
Gm31475	0	0	0	0	0	1
Srxn1	24	40	58	63	47	44
Gm31535	0	1	0	0	0	0
Tcf15	0	0	0	0	1	0
Csnk2a1	80	101	111	75	103	96
Tbc1d20	23	44	42	47	47	43
Rbck1	34	34	50	34	53	64
Trib3	0	0	2	1	2	1
Gm14164	55	60	65	63	32	31
Nrsn2	147	173	214	178	94	97
Sox12	16	23	32	29	15	24
Zcchc3	13	29	25	15	7	13
6820408C15Rik	2	7	0	5	2	3
Gm39960	0	0	0	0	1	1
Defb23	0	0	0	0	0	0
Defb20	0	0	0	0	0	0
Defb22	0	0	0	0	0	0
Defb26	0	0	0	0	0	0
Defb28	0	0	0	0	0	0
Defb29	0	0	0	0	0	0
Gm14161	0	0	0	0	0	0
Defb21	0	0	0	0	0	0
Defb19	0	0	0	0	0	0
Defb45	0	0	0	0	0	0
Defb36	0	0	0	0	0	0
Gm31618	0	0	0	0	0	0
Defb25	0	0	0	0	0	0
Rem1	0	0	0	1	0	0
Gm31791	0	0	0	0	0	0
1700030C14Rik	0	1	1	2	1	3
H13	72	72	113	103	72	74
Mcts2	11	14	11	10	8	14
Id1	0	0	1	1	2	2
Gm32057	0	0	0	0	0	0
Cox4i2	1	0	0	0	0	0
Bcl2l1	27	42	45	41	36	49
Gm32211	3	2	6	3	3	6
Tpx2	6	4	8	5	0	2
Mir5622	0	0	0	0	0	0
Mylk2	0	0	1	0	0	0
Foxs1	0	0	0	0	0	0
Dusp15	2	9	11	3	11	6
Ttll9	2	2	0	3	2	3
Gm14199	0	0	0	0	0	0
Pdrg1	21	28	25	26	25	32
Xkr7	19	27	18	24	13	14
Gm32286	0	1	2	1	2	0
Ccm2l	0	0	0	0	1	1
Hck	1	2	2	1	4	1
Tm9sf4	127	145	151	114	90	71
Tspyl3	25	44	39	34	28	24
Plagl2	28	15	28	23	13	17
Pofut1	14	28	27	25	16	24
Gm39961	0	0	0	0	0	0
Kif3b	82	107	75	59	53	47
2500004C02Rik	5	9	10	7	12	8
Asxl1	68	81	83	55	70	61
Nol4l	55	52	45	39	52	38
4930404H24Rik	6	8	7	4	12	3
Commd7	23	7	19	16	16	13
Dnmt3b	0	1	2	0	0	0
Mapre1	65	73	85	66	77	80
Efcab8	0	0	0	0	0	0
Gm38434	0	0	0	0	0	0
Sun5	0	0	0	0	0	0
Bpifb2	0	0	0	0	0	0
Bpifb6	0	0	0	0	0	0
Bpifb3	0	0	0	0	0	0
Bpifb4	0	0	0	0	0	0
Bpifa6	0	0	0	0	0	0
Bpifa2	0	0	0	0	0	0
Bpifa3	0	0	0	0	0	0
Bpifa1	0	0	0	0	0	0
Bpifa5	0	0	0	0	0	0
Bpifb1	0	0	0	0	0	0
Cdk5rap1	3	10	19	5	11	6
Bpifb5	0	0	0	0	0	0
Bpifb9a	0	1	1	0	1	1
Bpifb9b	0	1	1	2	3	0
Snta1	3	1	7	10	6	2
Gm39962	0	0	0	0	0	0
Cbfa2t2	87	80	103	75	85	80
Necab3	6	10	2	6	3	4
1700003F12Rik	0	1	3	0	1	0
Actl10	1	1	2	1	0	3
E2f1	1	4	4	0	6	1
Gm39963	0	0	0	0	0	0
Pxmp4	7	8	4	8	10	6
Zfp341	14	12	19	12	12	14
LOC102635682	7	4	8	7	3	6
Chmp4b	125	140	122	83	75	67
LOC105244333	0	6	5	8	6	6
Gm14216	0	0	0	0	0	0
Gm38598	0	0	0	0	0	0
Raly	42	45	56	56	45	48
Eif2s2	77	75	91	71	61	51
a	0	2	0	0	0	0
Gm39965	0	0	0	0	0	0
Ahcy	2	8	17	12	6	6
Gm39966	8	5	4	2	6	1
LOC108168806	15	11	11	15	7	4
2310005A03Rik	0	0	0	0	0	0
Itch	87	79	120	88	135	119
Dynlrb1	88	99	110	77	63	79
Map1lc3a	31	35	38	32	27	26
Pigu	16	35	29	31	17	22
Mir695	0	0	0	0	0	0
Trp53inp2	33	56	75	60	75	87
Ncoa6	92	117	129	125	144	133
Ggt7	28	33	33	40	33	27
Acss2	17	7	15	16	22	15
Acss2os	2	2	0	4	2	3
Gss	6	6	7	11	11	5
LOC102636309	6	10	20	7	26	7
Myh7b	9	8	15	3	5	4
Mir499	0	0	0	0	0	0
Trpc4ap	108	119	115	103	95	92
Edem2	12	8	19	12	14	11
Procr	0	0	0	0	1	0
Mmp24	27	45	48	38	45	45
LOC108168807	3	2	0	1	4	4
BC029722	20	25	33	28	16	21
Eif6	7	14	18	9	7	7
Fam83c	0	0	0	0	0	0
Uqcc1	29	36	42	28	24	23
Gdf5	0	0	1	0	0	0
Cep250	16	24	18	27	23	25
LOC108168808	0	1	0	5	1	2
6430550D23Rik	1	0	1	0	1	5
Ergic3	19	37	47	30	22	14
Fer1l4	0	0	0	0	1	0
Gm39970	0	0	0	0	0	1
Spag4	1	1	4	3	2	1
Cpne1	34	30	37	40	43	36
Rbm12	36	38	51	51	77	59
Nfs1	11	23	35	19	28	31
Romo1	12	18	15	9	7	17
Rbm39	426	496	849	543	696	689
Phf20	93	108	105	70	81	62
Scand1	7	15	12	13	10	7
Cnbd2	3	17	10	9	11	12
Gm39972	0	0	1	0	1	0
Gm14170	1	3	2	2	2	1
2900097C17Rik	644	774	668	515	549	522
Epb41l1	207	265	372	274	323	302
Gm33977	11	9	20	5	16	17
Aar2	35	41	44	28	28	19
Gm14169	4	2	5	3	6	1
Dlgap4	196	225	295	284	221	217
Gm34111	1	1	5	1	2	0
4930405A21Rik	1	2	6	5	8	7
Myl9	0	1	1	0	0	0
Gm14230	0	0	0	0	1	0
Tgif2	4	9	5	8	4	7
5430405H02Rik	3	9	1	10	4	9
1110008F13Rik	19	11	11	5	10	12
Sla2	14	8	11	6	8	10
Ndrg3	309	326	284	247	210	188
Dsn1	4	0	3	2	2	3
Soga1	81	81	97	87	54	59
Tldc2	1	1	2	2	4	2
Samhd1	19	11	24	14	14	15
Rbl1	2	8	8	5	1	1
LOC105244345	2	0	0	0	1	1
Mroh8	9	7	3	7	7	8
Rpn2	155	169	156	121	92	90
Ghrh	1	1	0	1	0	0
Gm39974	0	0	0	0	0	0
Manbal	12	19	9	12	12	9
Src	39	54	48	45	29	31
LOC108168809	0	0	1	0	0	0
Blcap	75	87	105	86	57	56
Nnat	259	290	236	174	92	75
Platr27	0	0	0	0	0	0
Gm34293	0	0	0	0	0	0
Ctnnbl1	29	51	35	27	32	28
Vstm2l	39	40	52	48	23	24
Tti1	27	21	31	28	21	14
Gm34402	0	4	10	2	4	3
Rprd1b	42	65	76	50	55	59
2010009K17Rik	1	1	4	1	0	1
Gm34458	0	0	0	0	0	0
Tgm2	1	0	0	0	1	1
Gm34514	0	0	0	0	0	0
D630003M21Rik	1	0	4	3	2	4
1700060C20Rik	0	0	0	0	0	0
Mir7685	0	0	0	0	0	0
Gm34571	0	0	0	0	0	0
Bpi	0	0	0	0	1	0
Lbp	0	0	0	0	0	0
Snhg17	6	5	10	3	10	9
Snhg11	795	1094	1952	1189	1807	1826
Ralgapb	176	220	262	190	268	233
Adig	0	0	0	0	1	0
Arhgap40	1	1	1	2	0	0
Gm14204	32	36	52	37	41	33
Slc32a1	180	266	236	243	168	132
Actr5	4	10	14	8	13	14
Mir3474	0	2	0	1	1	0
Ppp1r16b	41	62	135	103	287	285
Fam83d	0	1	2	0	3	1
Dhx35	13	14	31	29	26	29
Gm38630	2	0	0	0	0	0
4933416E03Rik	0	0	0	0	0	0
9130015L21Rik	0	0	0	0	0	0
Gm34741	0	0	0	0	0	0
Gm34805	0	0	0	0	0	0
LOC108168810	0	2	0	0	0	0
Gm826	0	0	0	0	0	0
Mafb	15	5	17	8	10	6
Gm34980	0	0	0	0	0	0
Gm14221	0	0	0	0	0	0
Top1	244	262	237	172	178	216
Plcg1	41	49	70	48	60	50
Zhx3	50	73	70	74	63	53
Gm35129	0	2	1	0	0	1
Lpin3	0	0	0	0	0	0
Emilin3	0	0	0	0	0	0
Gm35181	0	0	0	0	0	0
LOC108168811	0	0	0	1	0	0
Chd6	682	826	670	533	608	524
Gm35374	0	0	0	0	0	0
Ptprt	284	358	361	303	183	158
Ptprtos	0	0	0	0	0	0
LOC108168812	1	2	10	13	10	12
9430021M05Rik	11	6	22	10	5	8
LOC102639013	1	1	6	3	2	2
Gm39978	0	0	0	0	0	0
Cisd3b	0	0	0	0	2	0
Srsf6	104	94	145	123	111	106
L3mbtl1	12	19	27	20	16	19
Sgk2	1	1	1	0	0	2
Ift52	29	37	33	21	26	25
Mybl2	0	1	3	1	2	0
Mir7003	0	0	0	0	0	0
Gtsf1l	0	0	0	0	0	0
Gm11454	0	0	0	0	0	0
Tox2	40	34	29	25	16	5
Jph2	0	1	1	0	0	0
Gm35750	0	0	0	0	0	0
Oser1	5	9	6	6	6	8
LOC108168734	5	2	6	9	3	5
Gdap1l1	37	43	41	37	18	16
Gm39979	2	1	4	1	1	0
Fitm2	4	4	15	14	9	6
2310001K24Rik	1	0	2	0	1	0
R3hdml	0	0	0	0	0	0
Hnf4aos	0	0	0	0	0	0
Hnf4a	0	0	0	0	0	0
Ttpal	47	77	79	83	63	75
Serinc3	203	199	274	203	249	201
0610039K10Rik	7	7	15	15	6	11
Pkig	33	24	35	24	25	18
LOC102639518	5	10	7	3	7	7
Ada	1	4	3	0	3	1
Wisp2	0	0	0	0	0	0
Kcnk15	0	0	0	0	0	0
Rims4	14	19	17	20	25	11
Gm35886	0	2	0	0	2	4
Ywhab	505	605	477	391	335	334
Pabpc1l	2	0	0	1	0	0
Tomm34	82	117	75	65	48	65
Stk4	36	47	63	36	43	56
Kcns1	8	3	2	1	3	6
LOC102639814	0	2	0	0	0	0
Wfdc5	0	0	0	0	0	0
Wfdc12	0	1	0	0	0	0
Wfdc15a	0	0	0	0	0	0
Wfdc15b	0	0	0	0	0	0
Svs2	0	0	0	0	0	0
Svs3b	0	0	0	0	0	0
Svs4	0	0	0	0	0	0
Svs3a	0	0	0	0	0	1
Svs6	0	0	0	0	0	0
Svs5	0	0	0	0	0	0
Slpi	0	0	0	0	0	0
Mir7678	0	0	0	0	0	0
Matn4	0	0	0	0	1	0
Rbpjl	0	0	0	0	0	0
Sdc4	16	21	21	19	25	15
Sys1	18	23	34	19	22	23
Trp53tg5	9	5	10	7	4	12
Dbndd2	53	84	78	63	87	97
LOC102638515	1	0	3	2	5	5
Pigt	54	68	82	74	67	55
Gm36090	0	0	0	0	0	0
Gm14317	0	0	0	0	0	0
Wfdc2	0	0	0	0	1	0
Spint3	0	0	0	0	0	0
Wfdc6a	0	0	0	0	0	0
Eppin	0	0	0	0	0	0
Wfdc8	0	0	1	0	0	0
Wfdc6b	0	0	0	0	0	0
Wfdc16	0	0	0	0	0	0
Wfdc9	0	0	0	0	0	0
Wfdc10	0	0	0	0	0	0
Wfdc11	0	0	0	0	0	0
Wfdc13	0	0	0	0	0	0
Spint4	0	1	1	1	0	0
Spint5	0	0	0	0	0	0
Wfdc3	5	2	1	2	0	2
Dnttip1	13	17	14	14	13	13
Gm11457	11	14	21	18	18	22
Ube2c	0	0	0	0	1	1
Tnnc2	0	0	0	0	3	0
Snx21	9	10	27	11	12	11
Acot8	13	7	17	19	11	6
Zswim3	6	9	4	11	8	4
Zswim1	24	18	23	27	14	17
Spata25	0	0	1	2	0	2
Neurl2	6	2	7	8	1	3
Ctsa	47	41	59	50	39	38
Pltp	15	10	6	7	8	7
LOC105244413	10	4	14	14	12	14
Pcif1	33	31	43	48	34	22
LOC108168813	7	13	12	16	10	7
Zfp335	22	23	32	31	35	22
Zfp335os	10	12	12	9	12	16
Mmp9	0	0	0	0	0	1
Slc12a5	426	442	516	441	423	311
LOC108168814	1	2	1	0	0	0
Ncoa5	29	49	53	46	55	48
Cd40	0	0	0	0	1	0
1700025C18Rik	0	0	0	0	0	0
Gm36690	0	0	1	0	0	0
Cdh22	56	61	43	30	39	29
Gm36803	2	7	3	0	8	4
Gm36748	5	13	8	2	16	6
Slc35c2	19	23	25	24	25	18
Elmo2	73	104	106	92	77	56
Zfp663	1	0	1	0	0	0
Gm29831	0	0	0	0	0	0
Zfp334	53	68	50	47	44	48
Ocstamp	0	0	0	0	0	0
Slc13a3	1	1	2	4	2	1
Trp53rka	5	7	0	7	3	4
Slc2a10	1	0	0	0	0	0
Eya2	1	3	9	7	2	1
Gm29993	0	0	0	0	0	0
Zmynd8	175	276	227	193	204	225
1810021M19Rik	0	0	0	0	0	1
LOC108168815	0	0	0	0	0	0
Ncoa3	36	56	73	63	74	67
Sulf2	18	15	60	49	37	27
Gm30320	0	0	0	0	0	0
Gm30536	0	0	0	0	0	0
Gm11468	0	0	0	0	0	0
Gm30733	1	0	1	2	0	0
Gm14268	0	0	0	0	0	0
Gm30796	0	0	0	0	0	0
5031425F14Rik	0	0	0	0	0	0
Gm30908	0	0	2	0	0	2
Gm39983	0	0	0	0	0	0
Gm29679	17	14	20	10	10	11
Prex1	59	80	75	62	62	58
LOC108168816	8	5	8	4	8	10
LOC108168817	0	0	0	0	0	1
Gm31117	0	0	0	0	0	0
Trp53rkb	8	4	9	5	9	4
Arfgef2	87	128	134	121	99	83
Gm31204	3	2	3	1	0	1
Cse1l	117	125	133	106	101	72
Stau1	71	72	90	78	56	63
Ddx27	17	16	15	14	20	22
Znfx1	51	52	79	54	101	93
Zfas1	9	6	15	10	11	13
Snord12	25	27	17	8	5	8
Gm39984	0	0	0	0	0	0
Kcnb1	228	282	342	236	395	354
1110018N20Rik	11	26	28	13	24	17
Ptgis	0	1	0	0	1	2
LOC108168818	0	0	0	0	0	0
B4galt5	28	54	46	45	27	26
Slc9a8	29	32	76	36	32	33
Spata2	29	30	42	28	21	33
Rnf114	27	26	42	28	23	23
Snai1	0	0	0	0	0	0
Gm11476	0	0	3	0	1	0
Gm31619	0	0	0	0	0	0
Ube2v1	32	35	36	23	41	24
Gm31852	4	3	5	0	5	3
Tmem189	10	13	17	11	11	14
Gm31932	0	0	1	0	0	0
Cebpb	3	1	4	0	2	1
A530013C23Rik	0	0	3	0	1	1
Gm38464	0	0	0	0	0	0
Gm32287	0	0	0	0	1	0
Gm14321	0	0	1	0	1	0
Gm32513	0	0	0	0	0	0
Gm32600	0	0	0	0	0	0
Gm32685	0	0	0	0	0	0
Gm32747	0	0	0	0	0	0
Gm32800	0	0	0	0	0	0
Gm32845	0	0	0	0	0	0
Gm33033	0	0	0	0	0	0
Gm32928	0	0	0	0	0	0
Ptpn1	18	37	43	36	29	30
Fam65c	0	1	1	0	3	2
Gm33108	0	1	0	1	0	0
Gm39990	1	0	2	1	0	3
Pard6b	9	12	8	9	6	14
LOC108168836	0	0	0	0	0	0
Gm39991	0	0	0	1	0	0
E130018N17Rik	0	0	1	0	0	0
Gm33185	0	0	0	0	0	0
Adnp	330	383	323	267	234	218
Dpm1-adnp	342	417	361	288	266	255
Dpm1	28	49	56	35	54	56
Mocs3	8	6	5	6	3	2
Kcng1	11	19	24	26	34	30
Gm39992	0	0	0	0	0	0
Gm33262	0	0	0	0	0	0
Gm33359	0	0	0	0	0	0
Gm33413	0	0	0	0	0	0
Nfatc2	8	12	29	26	44	60
Atp9a	328	418	404	320	294	183
Mir7004	0	1	3	1	2	1
Sall4	0	0	0	0	0	0
Gm14261	0	0	0	0	0	0
Gm38422	3	1	2	5	2	1
Zfp64	4	10	9	9	9	11
Gm39993	0	0	0	0	1	1
1700017J07Rik	0	0	0	1	0	0
Gm33622	1	3	1	4	1	4
9430093N23Rik	0	0	0	0	0	0
Gm33806	0	0	0	0	0	0
LOC108168838	0	0	0	0	0	0
Gm39994	0	0	0	0	0	0
Gm14250	0	0	0	0	0	0
LOC102637001	0	0	0	0	0	0
Gm34112	0	0	0	0	0	0
Gm38497	0	0	0	0	0	0
LOC108167317	0	0	0	0	0	0
1700101G07Rik	0	0	0	0	0	0
LOC108168820	5	3	4	2	2	3
Tshz2	76	88	44	36	12	13
Gm39997	0	1	2	0	0	1
Gm34344	0	0	0	1	1	0
AY702102	0	0	0	1	1	0
A630075F10Rik	1	0	1	0	0	0
Zfp217	0	4	3	2	1	3
Gm34403	0	0	0	0	0	0
Gm17619	0	0	0	0	0	0
Gm34542	0	0	0	0	0	0
Gm39999	0	0	0	0	0	0
Bcas1	4	6	17	17	31	26
Bcas1os2	0	1	1	0	3	6
Gm34608	0	0	0	0	0	0
Gm40000	0	1	0	0	0	0
Cyp24a1	0	0	0	0	0	0
Pfdn4	23	25	26	21	17	18
Gm16796	11	11	6	9	6	11
Gm40001	0	0	0	0	0	0
Gm14637	13	6	6	1	1	2
4930470P17Rik	3	3	2	1	0	0
Gm40002	1	0	0	0	0	0
Gm40003	0	0	0	0	0	0
Gm34981	0	0	0	0	0	0
Dok5	7	13	14	5	14	14
Gm35033	0	1	0	1	1	2
